Début du scan avec comme paramètres : 
Protocole : UDP		 Nom d'hôte : 127.0.0.1
Port 1262		Ouvert
Port 1962		Ouvert
Port 1952		Ouvert
Port 3001		Ouvert
Port 1982		Ouvert
Port 2002		Ouvert
Port 1293		Ouvert
Port 1992		Ouvert
Port 3021		Ouvert
Port 1273		Ouvert
Port 3011		Ouvert
Port 3031		Ouvert
Port 2012		Ouvert
Port 1312		Ouvert
Port 3041		Ouvert
Port 1322		Ouvert
Port 3051		Ouvert
Port 683		Ouvert
Port 3061		Ouvert
Port 68		Ouvert
Port 2032		Ouvert
Port 3101		Ouvert
Port 694		Ouvert
Port 3081		Ouvert
Port 2042		Ouvert
Port 3071		Ouvert
Port 494		Ouvert
Port 3091		Ouvert
Port 2052		Ouvert
Port 722		Ouvert
Port 3121		Ouvert
Port 3111		Ouvert
Port 524		Ouvert
Port 2072		Ouvert
Port 3131		Ouvert
Port 266		Ouvert
Port 3141		Ouvert
Port 2082		Ouvert
Port 3151		Ouvert
Port 3161		Ouvert
Port 3171		Ouvert
Port 713		Ouvert
Port 733		Ouvert
Port 3181		Ouvert
Port 2092		Ouvert
Port 1392		Ouvert
Port 2102		Ouvert
Port 3182		Ouvert
Port 3191		Ouvert
Port 3201		Ouvert
Port 3211		Ouvert
Port 554		Ouvert
Port 1413		Ouvert
Port 3221		Ouvert
Port 3231		Ouvert
Port 2192		Ouvert
Port 2152		Ouvert
Port 2142		Ouvert
Port 3251		Ouvert
Port 1383		Ouvert
Port 2172		Ouvert
Port 356		Ouvert
Port 2202		Ouvert
Port 3261		Ouvert
Port 3241		Ouvert
Port 3271		Ouvert
Port 2222		Ouvert
Port 2212		Ouvert
Port 3301		Ouvert
Port 3311		Ouvert
Port 3281		Ouvert
Port 3291		Ouvert
Port 383		Ouvert
Port 3321		Ouvert
Port 2232		Ouvert
Port 3331		Ouvert
Port 3341		Ouvert
Port 3371		Ouvert
Port 3351		Ouvert
Port 983		Ouvert
Port 3361		Ouvert
Port 2262		Ouvert
Port 3391		Ouvert
Port 3381		Ouvert
Port 3411		Ouvert
Port 3401		Ouvert
Port 3421		Ouvert
Port 1452		Ouvert
Port 1433		Ouvert
Port 3431		Ouvert
Port 3441		Ouvert
Port 3451		Ouvert
Port 3461		Ouvert
Port 3471		Ouvert
Port 1443		Ouvert
Port 3481		Ouvert
Port 2322		Ouvert
Port 1012		Ouvert
Port 3501		Ouvert
Port 2302		Ouvert
Port 3491		Ouvert
Port 3531		Ouvert
Port 2332		Ouvert
Port 3511		Ouvert
Port 1003		Ouvert
Port 994		Ouvert
Port 3521		Ouvert
Port 603		Ouvert
Port 2362		Ouvert
Port 3541		Ouvert
Port 2372		Ouvert
Port 3561		Ouvert
Port 3551		Ouvert
Port 3571		Ouvert
Port 2402		Ouvert
Port 1473		Ouvert
Port 2412		Ouvert
Port 1482		Ouvert
Port 3581		Ouvert
Port 3591		Ouvert
Port 2432		Ouvert
Port 3601		Ouvert
Port 1032		Ouvert
Port 3611		Ouvert
Port 566		Ouvert
Port 3621		Ouvert
Port 3631		Ouvert
Port 595		Ouvert
Port 3651		Ouvert
Port 3641		Ouvert
Port 783		Ouvert
Port 1493		Ouvert
Port 3661		Ouvert
Port 2452		Ouvert
Port 1532		Ouvert
Port 1552		Ouvert
Port 3671		Ouvert
Port 3681		Ouvert
Port 2482		Ouvert
Port 793		Ouvert
Port 3691		Ouvert
Port 3701		Ouvert
Port 3711		Ouvert
Port 3721		Ouvert
Port 2502		Ouvert
Port 3731		Ouvert
Port 3761		Ouvert
Port 3741		Ouvert
Port 2492		Ouvert
Port 2532		Ouvert
Port 3751		Ouvert
Port 614		Ouvert
Port 1562		Ouvert
Port 3771		Ouvert
Port 804		Ouvert
Port 2522		Ouvert
Port 3791		Ouvert
Port 2552		Ouvert
Port 1573		Ouvert
Port 3801		Ouvert
Port 3781		Ouvert
