Début du scan avec comme paramètres : 
Protocole : TCP		 Nom d'hôte : 127.0.0.1
Port 937		Fermé
Port 938		Fermé
Port 939		Fermé
Port 940		Fermé
Port 941		Fermé
Port 942		Fermé
Port 943		Fermé
Port 944		Fermé
Port 945		Fermé
Port 946		Fermé
Port 947		Fermé
Port 948		Fermé
Port 949		Fermé
Port 950		Fermé
Port 951		Fermé
Port 952		Fermé
Port 953		Fermé
Port 954		Fermé
Port 955		Fermé
Port 956		Fermé
Port 957		Fermé
Port 958		Fermé
Port 959		Fermé
Port 960		Fermé
Port 961		Fermé
Port 962		Fermé
Port 963		Fermé
Port 964		Fermé
Port 965		Fermé
Port 966		Fermé
Port 967		Fermé
Port 968		Fermé
Port 969		Fermé
Port 970		Fermé
Port 971		Fermé
Port 972		Fermé
Port 973		Fermé
Port 974		Fermé
Port 975		Fermé
Port 976		Fermé
Port 977		Fermé
Port 978		Fermé
Port 979		Fermé
Port 980		Fermé
Port 981		Fermé
Port 982		Fermé
Port 983		Fermé
Port 984		Fermé
Port 985		Fermé
Port 986		Fermé
Port 987		Fermé
Port 988		Fermé
Port 989		Fermé
Port 990		Fermé
Port 991		Fermé
Port 992		Fermé
Port 993		Fermé
Port 994		Fermé
Port 995		Fermé
Port 996		Fermé
Port 997		Fermé
Port 998		Fermé
Port 999		Fermé
Port 1000		Fermé
Port 1001		Fermé
Port 1002		Fermé
Port 1003		Fermé
Port 1004		Fermé
Port 1005		Fermé
Port 1006		Fermé
Port 1007		Fermé
Port 1008		Fermé
Port 1009		Fermé
Port 1010		Fermé
Port 1011		Fermé
Port 1012		Fermé
Port 1013		Fermé
Port 1014		Fermé
Port 1015		Fermé
Port 1016		Fermé
Port 1017		Fermé
Port 1018		Fermé
Port 1019		Fermé
Port 1020		Fermé
Port 1021		Fermé
Port 1022		Fermé
Port 1023		Fermé
Port 1024		Fermé
Port 1025		Fermé
Port 1026		Fermé
Port 1027		Fermé
Port 1028		Fermé
Port 1029		Fermé
Port 1030		Fermé
Port 1031		Fermé
Port 1032		Fermé
Port 1033		Fermé
Port 1034		Fermé
Port 1035		Fermé
Port 1036		Fermé
Port 1037		Fermé
Port 1038		Fermé
Port 1039		Fermé
Port 1040		Fermé
Port 1041		Fermé
Port 1042		Fermé
Port 1043		Fermé
Port 1044		Fermé
Port 1045		Fermé
Port 1046		Fermé
Port 1047		Fermé
Port 1048		Fermé
Port 1049		Fermé
Port 1050		Fermé
Port 1051		Fermé
Port 1052		Fermé
Port 1053		Fermé
Port 1054		Fermé
Port 1055		Fermé
Port 1056		Fermé
Port 1057		Fermé
Port 1058		Fermé
Port 1059		Fermé
Port 1060		Fermé
Port 1061		Fermé
Port 1062		Fermé
Port 1063		Fermé
Port 1064		Fermé
Port 1065		Fermé
Port 1066		Fermé
Port 1067		Fermé
Port 1068		Fermé
Port 1069		Fermé
Port 1070		Fermé
Port 1071		Fermé
Port 1072		Fermé
Port 1073		Fermé
Port 1074		Fermé
Port 1075		Fermé
Port 1076		Fermé
Port 1077		Fermé
Port 1078		Fermé
Port 1079		Fermé
Port 1080		Fermé
Port 1081		Fermé
Port 1082		Fermé
Port 1083		Fermé
Port 1084		Fermé
Port 1085		Fermé
Port 1086		Fermé
Port 1087		Fermé
Port 1088		Fermé
Port 1089		Fermé
Port 1090		Fermé
Port 1091		Fermé
Port 1092		Fermé
Port 1093		Fermé
Port 1094		Fermé
Port 1095		Fermé
Port 1096		Fermé
Port 1097		Fermé
Port 1098		Fermé
Port 1099		Fermé
Port 1100		Fermé
Port 1101		Fermé
Port 1102		Fermé
Port 1103		Fermé
Port 1104		Fermé
Port 1105		Fermé
Port 1106		Fermé
Port 1107		Fermé
Port 1108		Fermé
Port 1109		Fermé
Port 1110		Fermé
Port 1111		Fermé
Port 1112		Fermé
Port 1113		Fermé
Port 1114		Fermé
Port 1115		Fermé
Port 1116		Fermé
Port 1117		Fermé
Port 1118		Fermé
Port 1119		Fermé
Port 1120		Fermé
Port 1121		Fermé
Port 1122		Fermé
Port 1123		Fermé
Port 1124		Fermé
Port 1125		Fermé
Port 1126		Fermé
Port 1127		Fermé
Port 1128		Fermé
Port 1129		Fermé
Port 1130		Fermé
Port 1131		Fermé
Port 1132		Fermé
Port 1133		Fermé
Port 1134		Fermé
Port 1135		Fermé
Port 1136		Fermé
Port 1137		Fermé
Port 1138		Fermé
Port 1139		Fermé
Port 1140		Fermé
Port 1141		Fermé
Port 1142		Fermé
Port 1143		Fermé
Port 1144		Fermé
Port 1145		Fermé
Port 1146		Fermé
Port 1147		Fermé
Port 1148		Fermé
Port 1149		Fermé
Port 1150		Fermé
Port 1151		Fermé
Port 1152		Fermé
Port 1153		Fermé
Port 1154		Fermé
Port 1155		Fermé
Port 1156		Fermé
Port 1157		Fermé
Port 1158		Fermé
Port 1159		Fermé
Port 1160		Fermé
Port 1161		Fermé
Port 1162		Fermé
Port 1163		Fermé
Port 1164		Fermé
Port 1165		Fermé
Port 1166		Fermé
Port 1167		Fermé
Port 1168		Fermé
Port 1169		Fermé
Port 1170		Fermé
Port 1171		Fermé
Port 1172		Fermé
Port 1173		Fermé
Port 1174		Fermé
Port 1175		Fermé
Port 1176		Fermé
Port 1177		Fermé
Port 1178		Fermé
Port 1179		Fermé
Port 1180		Fermé
Port 1181		Fermé
Port 1182		Fermé
Port 1183		Fermé
Port 1184		Fermé
Port 1185		Fermé
Port 1186		Fermé
Port 1187		Fermé
Port 1188		Fermé
Port 1189		Fermé
Port 1190		Fermé
Port 1191		Fermé
Port 1192		Fermé
Port 1193		Fermé
Port 1194		Fermé
Port 1195		Fermé
Port 1196		Fermé
Port 1197		Fermé
Port 1198		Fermé
Port 1199		Fermé
Port 1200		Fermé
Port 1201		Fermé
Port 1202		Fermé
Port 1203		Fermé
Port 1204		Fermé
Port 1205		Fermé
Port 1206		Fermé
Port 1207		Fermé
Port 1208		Fermé
Port 1209		Fermé
Port 1210		Fermé
Port 1211		Fermé
Port 1212		Fermé
Port 1213		Fermé
Port 1214		Fermé
Port 1215		Fermé
Port 1216		Fermé
Port 1217		Fermé
Port 1218		Fermé
Port 1219		Fermé
Port 1220		Fermé
Port 1221		Fermé
Port 1222		Fermé
Port 1223		Fermé
Port 1224		Fermé
Port 1225		Fermé
Port 1226		Fermé
Port 1227		Fermé
Port 1228		Fermé
Port 1229		Fermé
Port 1230		Fermé
Port 1231		Fermé
Port 1232		Fermé
Port 1233		Fermé
Port 1234		Fermé
Port 1235		Fermé
Port 1236		Fermé
Port 1237		Fermé
Port 1238		Fermé
Port 1239		Fermé
Port 1240		Fermé
Port 1241		Fermé
Port 1242		Fermé
Port 1243		Fermé
Port 1244		Fermé
Port 1245		Fermé
Port 1246		Fermé
Port 1247		Fermé
Port 1248		Fermé
Port 1249		Fermé
Port 1250		Fermé
Port 1251		Fermé
Port 1252		Fermé
Port 1253		Fermé
Port 1254		Fermé
Port 1255		Fermé
Port 1256		Fermé
Port 1257		Fermé
Port 1258		Fermé
Port 1259		Fermé
Port 1260		Fermé
Port 1261		Fermé
Port 1262		Fermé
Port 1263		Fermé
Port 1264		Fermé
Port 1265		Fermé
Port 1266		Fermé
Port 1267		Fermé
Port 1268		Fermé
Port 1269		Fermé
Port 1270		Fermé
Port 1271		Fermé
Port 1272		Fermé
Port 1273		Fermé
Port 1274		Fermé
Port 1275		Fermé
Port 1276		Fermé
Port 1277		Fermé
Port 1278		Fermé
Port 1279		Fermé
Port 1280		Fermé
Port 1281		Fermé
Port 1282		Fermé
Port 1283		Fermé
Port 1284		Fermé
Port 1285		Fermé
Port 1286		Fermé
Port 1287		Fermé
Port 1288		Fermé
Port 1289		Fermé
Port 1290		Fermé
Port 1291		Fermé
Port 1292		Fermé
Port 1293		Fermé
Port 1294		Fermé
Port 1295		Fermé
Port 1296		Fermé
Port 1297		Fermé
Port 1298		Fermé
Port 1299		Fermé
Port 1300		Fermé
Port 1301		Fermé
Port 1302		Fermé
Port 1303		Fermé
Port 1304		Fermé
Port 1305		Fermé
Port 1306		Fermé
Port 1307		Fermé
Port 1308		Fermé
Port 1309		Fermé
Port 1310		Fermé
Port 1311		Fermé
Port 1312		Fermé
Port 1313		Fermé
Port 1314		Fermé
Port 1315		Fermé
Port 1316		Fermé
Port 1317		Fermé
Port 1318		Fermé
Port 1319		Fermé
Port 1320		Fermé
Port 1321		Fermé
Port 1322		Fermé
Port 1323		Fermé
Port 1324		Fermé
Port 1325		Fermé
Port 1326		Fermé
Port 1327		Fermé
Port 1328		Fermé
Port 1329		Fermé
Port 1330		Fermé
Port 1331		Fermé
Port 1332		Fermé
Port 1333		Fermé
Port 1334		Fermé
Port 1335		Fermé
Port 1336		Fermé
Port 1337		Fermé
Port 1338		Fermé
Port 1339		Fermé
Port 1340		Fermé
Port 1341		Fermé
Port 1342		Fermé
Port 1343		Fermé
