Début du scan avec comme paramètres : 
Protocole : TCP		 Nom d'hôte : 127.0.0.1
Port de début : 1		 Timeout Max. socket : 2
Port de fin : 10234		 Execution parallèle : Non

2023-04-12 14:26:37.310341	Port 280	Fermé
2023-04-12 14:26:37.310380	Port 281	Fermé
2023-04-12 14:26:37.310419	Port 282	Fermé
2023-04-12 14:26:37.310453	Port 283	Fermé
2023-04-12 14:26:37.310486	Port 284	Fermé
2023-04-12 14:26:37.310521	Port 285	Fermé
2023-04-12 14:26:37.310554	Port 286	Fermé
2023-04-12 14:26:37.310588	Port 287	Fermé
2023-04-12 14:26:37.310622	Port 288	Fermé
2023-04-12 14:26:37.310662	Port 289	Fermé
2023-04-12 14:26:37.310699	Port 290	Fermé
2023-04-12 14:26:37.310734	Port 291	Fermé
2023-04-12 14:26:37.310768	Port 292	Fermé
2023-04-12 14:26:37.310801	Port 293	Fermé
2023-04-12 14:26:37.310835	Port 294	Fermé
2023-04-12 14:26:37.310870	Port 295	Fermé
2023-04-12 14:26:37.310903	Port 296	Fermé
2023-04-12 14:26:37.310937	Port 297	Fermé
2023-04-12 14:26:37.310970	Port 298	Fermé
2023-04-12 14:26:37.311004	Port 299	Fermé
2023-04-12 14:26:37.311037	Port 300	Fermé
2023-04-12 14:26:37.311070	Port 301	Fermé
2023-04-12 14:26:37.311104	Port 302	Fermé
2023-04-12 14:26:37.311147	Port 303	Fermé
2023-04-12 14:26:37.311184	Port 304	Fermé
2023-04-12 14:26:37.311219	Port 305	Fermé
2023-04-12 14:26:37.311254	Port 306	Fermé
2023-04-12 14:26:37.311288	Port 307	Fermé
2023-04-12 14:26:37.311322	Port 308	Fermé
2023-04-12 14:26:37.311356	Port 309	Fermé
2023-04-12 14:26:37.311390	Port 310	Fermé
2023-04-12 14:26:37.311428	Port 311	Fermé
2023-04-12 14:26:37.311463	Port 312	Fermé
2023-04-12 14:26:37.311500	Port 313	Fermé
2023-04-12 14:26:37.311534	Port 314	Fermé
2023-04-12 14:26:37.311568	Port 315	Fermé
2023-04-12 14:26:37.311603	Port 316	Fermé
2023-04-12 14:26:37.311647	Port 317	Fermé
